"Ano","Espécie","Anos de Serviço do Segurado","Sexo","Clientela","Qte Benefícios Concedidos","Vlr Benefícios Concedidos (R$)","Vlr Benef Concedidos (Mil R$)"
"1996","42-Ap Tempo Contrib Lops","Até 15 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","Até 15 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","46-Ap Tempo Contrib Especial","Até 15 Anos","Masculino","Urbana","48","26860,22","26,86"
"1996","46-Ap Tempo Contrib Especial","Até 15 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","Outras Ap Tempo Contrib","Até 15 Anos","Masculino","Urbana","41","18272,77","18,27"
"1996","Outras Ap Tempo Contrib","Até 15 Anos","Feminino","Urbana","8","3140,06","3,14"
"1996","42-Ap Tempo Contrib Lops","16 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","16 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","46-Ap Tempo Contrib Especial","16 Anos","Masculino","Urbana","21","12497,98","12,50"
"1996","46-Ap Tempo Contrib Especial","16 Anos","Feminino","Urbana","1","248,60","0,25"
"1996","Outras Ap Tempo Contrib","16 Anos","Masculino","Urbana","4","1476,97","1,48"
"1996","Outras Ap Tempo Contrib","16 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","17 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","17 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","46-Ap Tempo Contrib Especial","17 Anos","Masculino","Urbana","12","5827,43","5,83"
"1996","46-Ap Tempo Contrib Especial","17 Anos","Feminino","Urbana","1","698,99","0,70"
"1996","Outras Ap Tempo Contrib","17 Anos","Masculino","Urbana","6","4496,95","4,50"
"1996","Outras Ap Tempo Contrib","17 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","18 Anos","Masculino","Urbana","0","0,00","0,00"
"1996","42-Ap Tempo Contrib Lops","18 Anos","Feminino","Urbana","0","0,00","0,00"
"1996","46-Ap Tempo Contrib Especial","18 Anos","Masculino","Urbana","13","7690,58","7,69"
